o;77220.07722007722;
e;50193.05019305019;
de;42471.04247104247;
de o;28957.528957528957;
um;23166.023166023166;
que;21235.521235521235;
a o;19305.019305019305;
em o;15444.015444015444;15444.015444015444
ser;15444.015444015444;
a;13513.513513513515;
em;9652.509652509652;
com;9652.509652509652;
não;9652.509652509652;
se;7722.007722007722;
mais;7722.007722007722;
fazer;7722.007722007722;
vez;7722.007722007722;
ir;5791.505791505791;
então;5791.505791505791;
estar;5791.505791505791;
mas;5791.505791505791;
três;5791.505791505791;
também;5791.505791505791;
olhar;3861.003861003861;
noite;3861.003861003861;
como;3861.003861003861;
meia;3861.003861003861;
ver;3861.003861003861;
dar;3861.003861003861;
encostar;3861.003861003861;
só;3861.003861003861;
capela;3861.003861003861;
ou;3861.003861003861;
fora;3861.003861003861;
alma;3861.003861003861;
lá;3861.003861003861;
entrar;3861.003861003861;
para;3861.003861003861;
já;3861.003861003861;
fogueira;3861.003861003861;
ter;3861.003861003861;
arranjar;3861.003861003861;
lume;3861.003861003861;
depois;3861.003861003861;
de um;3861.003861003861;
clar;3861.003861003861;
mesmo;3861.003861003861;
todo;3861.003861003861;
por;3861.003861003861;
altar;3861.003861003861;
parecer;3861.003861003861;
de aquele;3861.003861003861;
boca;3861.003861003861;
outro;3861.003861003861;
Garrinchas;3861.003861003861;
cair;1930.5019305019305;
algodão;1930.5019305019305;
ramal;1930.5019305019305;
caía;1930.5019305019305;
sim;1930.5019305019305;
senhor;1930.5019305019305;
Bonito;1930.5019305019305;
felizmente;1930.5019305019305;
Senhora;1930.5019305019305;
Prazeres;1930.5019305019305;
ficar;1930.5019305019305;
perto;1930.5019305019305;
brincadeira;1930.5019305019305;
continuar;1930.5019305019305;
dormir;1930.5019305019305;
cabido;1930.5019305019305;
assim;1930.5019305019305;
adeus;1930.5019305019305;
Natal;1930.5019305019305;
Lourosa;1930.5019305019305;
apressar;1930.5019305019305;
passo;1930.5019305019305;
ouvido;1930.5019305019305;
mercador;1930.5019305019305;
fadiga;1930.5019305019305;
romper;1930.5019305019305;
chuva;1930.5019305019305;
pétala;1930.5019305019305;
Rico;1930.5019305019305;
panorama;1930.5019305019305;
patorra;1930.5019305019305;
elefante;1930.5019305019305;
branco;1930.5019305019305;
moleiro;1930.5019305019305;
cabo;1930.5019305019305;
hora;1930.5019305019305;
caminho;1930.5019305019305;
chegar;1930.5019305019305;
adro;1930.5019305019305;
ermida;1930.5019305019305;
volta;1930.5019305019305;
enxergar;1930.5019305019305;
palmo;1930.5019305019305;
sequer;1930.5019305019305;
chão;1930.5019305019305;
descoberto;1930.5019305019305;
Caiados;1930.5019305019305;
penedo;1930.5019305019305;
lembrar;1930.5019305019305;
penitente;1930.5019305019305;
haver;1930.5019305019305;
nem;1930.5019305019305;
pensar;1930.5019305019305;
em outro;1930.5019305019305;
pouso;1930.5019305019305;
graças;1930.5019305019305;
Entrou;1930.5019305019305;
alpendre;1930.5019305019305;
pau;1930.5019305019305;
parede;1930.5019305019305;
arrear;1930.5019305019305;
alforge;1930.5019305019305;
sacudiu-se;1930.5019305019305;
reparar;1930.5019305019305;
porta;1930.5019305019305;
apenas;1930.5019305019305;
esquecimento;1930.5019305019305;
algum;1930.5019305019305;
pecador;1930.5019305019305;
forçara;1930.5019305019305;
fechadura;1930.5019305019305;
Vá;1930.5019305019305;
mal;1930.5019305019305;
menos;1930.5019305019305;
caso;1930.5019305019305;
necessidade;1930.5019305019305;
poder;1930.5019305019305;
abrigar se;1930.5019305019305;
dentro;1930.5019305019305;
assunto;1930.5019305019305;
resolver;1930.5019305019305;
ocasião;1930.5019305019305;
devir;1930.5019305019305;
cá;1930.5019305019305;
diabo;1930.5019305019305;
lenha;1930.5019305019305;
Saiu;1930.5019305019305;
apanhar;1930.5019305019305;
braçado;1930.5019305019305;
urgueira;1930.5019305019305;
voltar;1930.5019305019305;
tentar;1930.5019305019305;
acendê-las;1930.5019305019305;
verde;1930.5019305019305;
húmida;1930.5019305019305;
animador;1930.5019305019305;
apagar se;1930.5019305019305;
Recomeçou;1930.5019305019305;
insucesso;1930.5019305019305;
mau;1930.5019305019305;
Gastar;1930.5019305019305;
fósforo;1930.5019305019305;
em em;1930.5019305019305;
começo;1930.5019305019305;
angústia;1930.5019305019305;
porque;1930.5019305019305;
ar;1930.5019305019305;
montanha;1930.5019305019305;
tolher;1930.5019305019305;
começar;1930.5019305019305;
escurecer;1930.5019305019305;
lembrar se;1930.5019305019305;
sacristio;1930.5019305019305;
encontrar;1930.5019305019305;
bocado;1930.5019305019305;
papel;1930.5019305019305;
Descobriu;1930.5019305019305;
realmente;1930.5019305019305;
jornal;1930.5019305019305;
forrar;1930.5019305019305;
gavetão;1930.5019305019305;
sossegado;1930.5019305019305;
agradecer;1930.5019305019305;
Céu;1930.5019305019305;
aquele;1930.5019305019305;
ajuda;1930.5019305019305;
quase;1930.5019305019305;
invisível;1930.5019305019305;
penumbra;1930.5019305019305;
divino;1930.5019305019305;
filho;1930.5019305019305;
colo;1930.5019305019305;
Mãe;1930.5019305019305;
Deus;1930.5019305019305;
sorrir-lhe;1930.5019305019305;
Boas;1930.5019305019305;
festa;1930.5019305019305;
desejou-lhe;1930.5019305019305;
sorrir;1930.5019305019305;
contente;1930.5019305019305;
palavra;1930.5019305019305;
ele;1930.5019305019305;
saíra;1930.5019305019305;
sem;1930.5019305019305;
saber;1930.5019305019305;
voltar se;1930.5019305019305;
andor;1930.5019305019305;
procissão;1930.5019305019305;
arrumar;1930.5019305019305;
canto;1930.5019305019305;
ideia;1930.5019305019305;
abuso;1930.5019305019305;
evidentemente;1930.5019305019305;
paciência;1930.5019305019305;
morrer;1930.5019305019305;
frio;1930.5019305019305;
isso;1930.5019305019305;
vírgula;1930.5019305019305;
Ia;1930.5019305019305;
escavacar;1930.5019305019305;
arcanho;1930.5019305019305;
olarila;1930.5019305019305;
altura;1930.5019305019305;
romaria;1930.5019305019305;
novo;1930.5019305019305;
de;1930.5019305019305;
pouco;1930.5019305019305;
envolver;1930.5019305019305;
por o;1930.5019305019305;
negrura;1930.5019305019305;
coberto;1930.5019305019305;
desfazer;1930.5019305019305;
desafiar;1930.5019305019305;
qualquer;1930.5019305019305;
lareira;1930.5019305019305;
afortunar;1930.5019305019305;
madeira;1930.5019305019305;
seco;1930.5019305019305;
palanquim;1930.5019305019305;
ardir;1930.5019305019305;
regalar;1930.5019305019305;
cheirar;1930.5019305019305;
naco;1930.5019305019305;
presunto;1930.5019305019305;
receber;1930.5019305019305;
Carvas;1930.5019305019305;
crescer;1930.5019305019305;
água;1930.5019305019305;
faltava;1930.5019305019305;
enxuto;1930.5019305019305;
quente;1930.5019305019305;
dispôs-se;1930.5019305019305;
cear;1930.5019305019305;
Tirou;1930.5019305019305;
navalha;1930.5019305019305;
bolso;1930.5019305019305;
cortar;1930.5019305019305;
pedaço;1930.5019305019305;
broa;1930.5019305019305;
fatia;1930.5019305019305;
febra;1930.5019305019305;
sentor se;1930.5019305019305;
antes;1930.5019305019305;
primeiro;1930.5019305019305;
bocada;1930.5019305019305;
deu-lhe;1930.5019305019305;
rebate;1930.5019305019305;
descargo;1930.5019305019305;
consciência;1930.5019305019305;
ergueu-se;1930.5019305019305;
chegar se;1930.5019305019305;
entrada;1930.5019305019305;
batir;1930.5019305019305;
cheio;1930.5019305019305;
talha;1930.5019305019305;
dourar;1930.5019305019305;
encher;1930.5019305019305;
casa;1930.5019305019305;
server;1930.5019305019305;
Santa;1930.5019305019305;
sorrir ele;1930.5019305019305;
menino;1930.5019305019305;
diante;1930.5019305019305;
acolhimento;1930.5019305019305;
cada;1930.5019305019305;
cordial;1930.5019305019305;
medida;1930.5019305019305;
dirigiu-se;1930.5019305019305;
pegar;1930.5019305019305;
trouxe-a;1930.5019305019305;
junto;1930.5019305019305;
Consoamos;1930.5019305019305;
aqui;1930.5019305019305;
dizer;1930.5019305019305;
pureza;1930.5019305019305;
ironia;1930.5019305019305;
patriarca;1930.5019305019305;
senhora;1930.5019305019305;
quem;1930.5019305019305;
pequeno;1930.5019305019305;
coisa;1930.5019305019305;
eu;1930.5019305019305;
embora;1930.5019305019305;
indigno;1930.5019305019305;
S.;1930.5019305019305;
José;1930.5019305019305;
